Connectivity,Predictor,Beta,SE,tValue,rValue,R2,Pvalue,adjPvalue
IC1/IC14,13,0.194285923,0.048882207,3.974573493,0.040699517,0.034959633,7.10264499454277e-05,0.001223431
IC1/IC28,27,-0.216676574,0.048579586,-4.460239174,-0.045662914,0.035374246,8.28076672049407e-06,0.000265116
IC1/IC35,34,-0.233424014,0.049121183,-4.75200311,-0.048643075,0.035646089,2.04361740011887e-06,9.4440033886926e-05
IC1/IC45,44,-0.135289171,0.048948689,-2.763897734,-0.028314346,0.034132877,0.00572253,0.037730364
IC1/IC49,48,-0.217366417,0.051314535,-4.235961956,-0.043371248,0.035176892,2.29718350657568e-05,0.000544445
IC2/IC28,78,-0.147369898,0.050194284,-2.935989633,-0.030075768,0.034232359,0.003332813,0.026094413
IC2/IC35,85,-0.138054006,0.048665025,-2.83682183,-0.029060783,0.034174302,0.004566132,0.033291689
IC3/IC4,104,0.202928994,0.068096494,2.98002118,0.030526402,0.034258774,0.002889569,0.023764422
IC4/IC14,163,0.168291377,0.041487779,4.056408493,0.041536074,0.035026175,5.0230924471737e-05,0.00092291
IC4/IC27,176,0.15580124,0.051439981,3.028796612,0.031025565,0.034288492,0.002461883,0.021136189
IC4/IC30,179,0.155179101,0.046332472,3.349251518,0.034304476,0.034495688,0.00081345,0.009419617
IC4/IC49,198,-0.151525775,0.049719708,-3.047599851,-0.03121799,0.034300077,0.002313096,0.020173714
IC5/IC8,205,-0.084383478,0.030114607,-2.802078018,-0.028705158,0.034154431,0.005087721,0.035953229
IC5/IC10,207,-0.088774007,0.028353166,-3.131008605,-0.032071518,0.034352327,0.001747347,0.016864181
IC5/IC11,208,-0.081684158,0.028718494,-2.844305029,-0.029137377,0.034178613,0.004460337,0.03269332
IC5/IC40,237,0.115697519,0.041189305,2.80892135,0.028775205,0.034158326,0.004980914,0.035644308
IC6/IC9,253,-0.131342665,0.047944154,-2.739492833,-0.028064531,0.034119254,0.00616487,0.038901791
IC6/IC10,254,-0.142765828,0.044610377,-3.200282933,-0.032780353,0.034396791,0.001377435,0.013854782
IC6/IC11,255,-0.169281105,0.046929719,-3.607119539,-0.036942196,0.034677462,0.000311202,0.004331675
IC6/IC12,256,-0.183676212,0.044640973,-4.11452078,-0.042130073,0.035074245,3.91254459565775e-05,0.000759364
IC6/IC13,257,-0.115985787,0.04258734,-2.723480409,-0.027900621,0.034110381,0.006471589,0.039811827
IC6/IC16,260,-0.12435208,0.041327145,-3.008968594,-0.03082265,0.034276353,0.002628225,0.022218981
IC6/IC26,270,0.16012297,0.052268154,3.063490058,0.031380601,0.034309923,0.002193831,0.01973576
IC6/IC27,271,0.140858398,0.042361599,3.325143572,0.03405784,0.03447938,0.000887073,0.009857954
IC7/IC9,299,-0.142659446,0.052500054,-2.717319987,-0.02783756,0.034106982,0.006593203,0.039896225
IC7/IC11,301,-0.13807546,0.049439253,-2.792830597,-0.028610503,0.034149184,0.005235339,0.036389259
IC7/IC16,306,-0.143597075,0.046752377,-3.071439018,-0.031461945,0.034314867,0.00213631,0.019712017
IC7/IC25,315,-0.128348973,0.042694508,-3.006217382,-0.030794495,0.034274675,0.0026521,0.022284111
IC7/IC26,316,0.290265263,0.061727406,4.702372578,0.048136224,0.035598642,2.60772985840763e-06,0.00010569
IC7/IC29,319,-0.155735714,0.0505559,-3.08046567,-0.031554316,0.034320498,0.002072668,0.019562583
IC7/IC43,333,0.264302991,0.051061215,5.176198592,0.052973593,0.036071729,2.31076017785876e-07,1.67590922373124e-05
IC7/IC48,338,0.152646347,0.038001912,4.016807048,0.04113126,0.034993806,5.9445721465256e-05,0.001077845
