Connectivity,Predictor,Beta,SE,tValue,rValue,R2,Pvalue,adjPvalue
IC5/IC8,205,4.868270693,2.836914874,1.716043981,0.097948608,0.038098838,0.087354381,0.247504081
IC5/IC10,207,7.837091946,3.060146076,2.561018903,0.145325174,0.051238908,0.01100616,0.062368241
IC6/IC43,287,2.838799454,3.43143329,0.827292625,0.047395164,0.029693711,0.408835736,0.604365871
IC6/IC44,288,-0.480888061,2.989002927,-0.160885778,-0.009227039,0.027217313,0.872309268,0.898742882
IC6/IC48,292,1.934612144,3.308807877,0.584685547,0.033515177,0.028407105,0.559270117,0.751056475
IC7/IC43,333,8.349069718,3.672646798,2.273311368,0.129289035,0.046224595,0.023829819,0.115744834
IC7/IC48,338,10.80875189,3.31605918,3.259517187,0.183762563,0.065598419,0.001266015,0.043044506
IC11/IC41,505,-0.719102476,3.784369898,-0.190019077,-0.010897694,0.027255853,0.8494436,0.898742882
IC12/IC48,553,-5.190506896,3.527999408,-1.47123236,-0.084082155,0.035213916,0.142446912,0.307791138
IC15/IC40,662,9.039950058,3.35264733,2.696361761,0.152830231,0.05378382,0.007471514,0.057348251
IC16/IC40,699,0.791053666,3.900908953,0.202787011,0.011629846,0.02727476,0.83946134,0.898742882
IC20/IC21,818,-4.577437841,3.404638063,-1.344471206,-0.076882477,0.0338885,0.17997693,0.35995386
IC20/IC48,845,-5.869013018,3.141320024,-1.868327001,-0.106545948,0.040106723,0.062849876,0.213347137
IC21/IC48,877,-8.594883617,3.23771737,-2.654612072,-0.150517876,0.052986278,0.008433566,0.057348251
IC22/IC28,888,4.400213508,3.940630254,1.11662684,0.063912008,0.031798814,0.265192743,0.500919626
IC22/IC45,905,5.727853623,3.916692383,1.46242111,0.083582113,0.035118048,0.144842888,0.307791138
IC23/IC48,938,-9.246368256,3.252844006,-2.842548932,-0.160906994,0.056663284,0.004833314,0.054777558
IC25/IC33,980,3.76930668,3.596298232,1.04810737,0.060004762,0.031244547,0.295569996,0.52891473
IC25/IC48,995,-7.591032859,3.47811206,-2.182515321,-0.124206525,0.044756086,0.02997352,0.126961952
IC25/IC49,996,-6.510983521,3.565941738,-1.825880511,-0.104151892,0.039530765,0.069024074,0.213347137
IC26/IC27,1001,11.27911146,3.909833356,2.884806189,0.16323575,0.057520549,0.004247427,0.054777558
IC27/IC28,1028,-0.72791078,3.50210208,-0.207849675,-0.011920149,0.027282596,0.83551032,0.898742882
IC27/IC45,1045,-2.710169473,2.997710345,-0.904079835,-0.051782967,0.03019213,0.366796462,0.56686726
IC28/IC29,1054,0.582293405,3.531891868,0.16486728,0.009455364,0.027222203,0.869177546,0.898742882
IC28/IC33,1058,-4.698200175,3.029996605,-1.550562851,-0.088581287,0.03610207,0.122232252,0.296849755
IC28/IC38,1063,-5.805663468,2.71780149,-2.136161706,-0.121607979,0.044027779,0.033607576,0.126961952
IC28/IC40,1065,-2.221092136,3.187985621,-0.696707075,-0.039927028,0.028946655,0.486613368,0.689368938
IC33/IC40,1175,3.559300621,3.572156607,0.996401057,0.057054431,0.030849126,0.319988905,0.543981139
IC35/IC48,1220,-1.437963996,3.337259782,-0.430881648,-0.024705215,0.027819307,0.666914191,0.83981787
IC38/IC40,1260,-0.340222744,3.467018783,-0.098131209,-0.005628122,0.027156028,0.921904301,0.921904301
IC39/IC40,1274,2.296486188,4.083426451,0.562391956,0.032238624,0.02831092,0.574337304,0.751056475
IC40/IC45,1292,-4.593742333,2.853152241,-1.610058611,-0.091951977,0.036797619,0.108607855,0.284051312
IC48/IC52,1367,-1.391079992,4.029335859,-0.345238034,-0.019796879,0.027568955,0.730196727,0.886667454
IC51/IC53,1377,4.50658871,4.895694384,0.920520841,0.052722064,0.030304523,0.358160545,0.56686726
