Connectivity,Predictor,Beta,SE,tValue,rValue,R2,Pvalue,adjPvalue
IC6/IC13,257,-4.532120343,5.873835323,-0.771577699,-0.044209749,0.096510439,0.44115658,0.617619212
IC6/IC27,271,0.629973902,5.772279977,0.109137794,0.006259359,0.094218754,0.913188356,0.947010147
IC6/IC29,273,-5.406754087,5.764681051,-0.937910361,-0.053715188,0.097623147,0.349274321,0.608416174
IC6/IC30,274,-8.282519643,5.850584922,-1.415673775,-0.080928137,0.101996704,0.158223725,0.340789562
IC7/IC27,317,-6.33439446,7.043135889,-0.899371326,-0.051513996,0.097346318,0.369395534,0.608416174
IC15/IC25,647,-0.159972749,5.956982372,-0.026854662,-0.001540219,0.094174687,0.978598941,0.978598941
IC17/IC48,743,-17.66143313,6.352391088,-2.78028114,-0.157470584,0.12362551,0.005880893,0.082332497
IC20/IC25,822,-10.35792097,5.737242983,-1.805383003,-0.102995145,0.106829271,0.072322388,0.244238321
IC21/IC25,854,-6.595880369,7.774227685,-0.848429019,-0.048603233,0.096997975,0.397081205,0.615698228
IC21/IC28,857,3.595040797,7.460651105,0.481866897,0.027626413,0.0950854,0.630358698,0.760693253
IC22/IC48,908,-2.696152089,6.510949917,-0.414095043,-0.023743284,0.094846676,0.679190404,0.760693253
IC23/IC25,915,-12.91584055,7.576478514,-1.704728724,-0.09730889,0.105474372,0.089595342,0.244238321
IC23/IC28,918,3.655296178,7.055923069,0.51804649,0.029698898,0.095227567,0.604923792,0.760693253
IC25/IC45,992,3.022356221,7.212184193,0.419062539,0.024027946,0.094862952,0.675561527,0.760693253
IC25/IC49,996,-10.84902881,6.369709938,-1.703221797,-0.097223685,0.105454648,0.089877367,0.244238321
IC26/IC32,1006,-13.36192305,7.993193412,-1.671662671,-0.095438783,0.105045374,0.095950769,0.244238321
IC27/IC31,1031,-2.368758089,6.865793627,-0.345008635,-0.01978373,0.094640393,0.730403173,0.786588033
IC27/IC45,1045,-10.47589299,5.307339128,-1.973850311,-0.112489537,0.109260528,0.049595672,0.198382688
IC28/IC36,1061,-7.250772647,4.573738902,-1.585305327,-0.090549975,0.103962779,0.114270893,0.266632084
IC28/IC41,1066,6.562455651,6.239961535,1.051682068,0.060208675,0.09850699,0.294049119,0.548891688
IC28/IC45,1070,15.62004256,7.848648035,1.990157093,0.113406956,0.109506627,0.047757663,0.198382688
IC32/IC35,1150,-8.404197159,6.659278863,-1.262028116,-0.072193406,0.100401429,0.208216926,0.416433852
IC33/IC41,1176,-15.15941709,6.760802994,-2.242250973,-0.127551486,0.113549234,0.025899062,0.181293431
IC34/IC45,1199,-3.174057868,6.678866494,-0.475239005,-0.027246707,0.095060466,0.635067624,0.760693253
IC38/IC41,1261,-16.29101902,6.498359058,-2.506943503,-0.142319471,0.118265307,0.012869228,0.120112795
IC41/IC49,1308,23.73719883,6.204354744,3.825893233,0.214330724,0.148370506,0.000167912,0.004701529
IC41/IC51,1310,11.72791188,5.669638658,2.068546619,0.117813056,0.110715952,0.0397066,0.198382688
IC42/IC45,1315,5.278636288,6.503077077,0.811713628,0.0465046,0.096759352,0.417795226,0.615698228
